ESTABLISHMENT_ID,ESTABLISHMENT_NAME,ESTABLISHMENT_ADDRESS,ESTABLISHMENT_NEIGHBORHOOD
10403532,JAY EXCLUSIVE CATERERS,1129 BROADVIEW AVE,Brookhaven-Amesbury
10571762,THE CAPTAIN'S BOIL,671 COLLEGE ST,Lansing-Westgate
10387622,NEW GENERATION SUSHI,493 BLOOR ST W,Taylor-Massey
10635390,FABBRICA,66 WELLINGTON ST W,Wychwood
10570890,RICO FOOD,4750 YONGE ST,Thistletown-Beaumond Heights
9015658,THE COUNCIL FIRE NATIVE CULTURAL CENTRE,439 DUNDAS ST E,Malvern
10585924,TASTY PITA,296 GERRARD ST E,Malvern
10495891,FRESH CO,2330 EGLINTON AVE W,Blake-Jones
10550606,LUCKY SHRIKE BAR,850 DUNDAS ST W,Lansing-Westgate
10306875,SEARA BAKERY,2277 KEELE ST,Oakridge
10279660,CAFE 668,885 DUNDAS ST W,Lansing-Westgate
10521618,King's Variety,4292 KINGSTON RD,Bridle Path-Sunnybrook-York Mills
10283384,BOO RADLEY'S JUNCTION BAR & GRILL,1482 DUPONT ST,Danforth
10605775,HOKI POKE,563 YONGE ST,Pelmo Park-Humberlea
10345997,LAS BRISAS DEL MAR,24 RIVALDA RD,Humber Summit
10544016,Weston Sports Bar & Cafe,2833 WESTON RD,Caledonia-Fairbank
10464676,YES FOOD FAIR,1940 GERRARD ST E,Highland Creek
10436261,TIM HORTONS,4841 YONGE ST,Casa Loma
10582449,KREPESZ,253 AUGUSTA AVE,Bayview Village
10298926,GEORGE'S PIZZA & PANZEROTTO,252 DUNDAS ST E,Malvern
10420648,PIZZAIOLO,104 YONGE ST,Wychwood
10450536,JIMMY THE GREEK,1800 SHEPPARD AVE E,Tam O'Shanter-Sullivan
10369848,STARBUCKS COFFEE,65 DUNDAS ST W,Pelmo Park-Humberlea
10541010,THE OLD MILL INN,21 OLD MILL RD,Henry Farm
10436770,MCDONALD'S,2020 JANE ST,Caledonia-Fairbank
10260777,PIZZA PIZZA,1937 WESTON RD,Wexford/Maryvale
10412513,CAKE STAR,3431 LAKE SHORE BLVD W,Birchcliffe-Cliffside
10519409,THE PEOPLES CHURCH KITCHEN,374 SHEPPARD AVE E,Casa Loma
10482871,BOOUNGEE,700 BLOOR ST W,Broadview North
10544914,PARAMOUNT FINE FOODS,253 YONGE ST,Pelmo Park-Humberlea
10477243,KEES FINE FOODS,100 ST GEORGE ST,Taylor-Massey
10619483,Freshii,1900 EGLINTON AVE E,Waterfront Communities-The Island
10296590,KING PALACE,820 CHURCH ST,Church-Yonge Corridor
9005373,DAVENHILL SENIOR LIVING,877 YONGE ST,Church-Yonge Corridor
10360062,GATEWAY NEWSTANDS,633 SHERBOURNE ST,Moss Park
10576338,THE DYLAN,1276 DANFORTH AVE,Etobicoke West Mall
9023352,CINNABON,500 REXDALE BLVD,Banbury-Don Mills
10574567,HAUTE COFFEE,153 DUPONT ST,Broadview North
10550626,AROMA ESPRESSO BAR,600 UNIVERSITY AVE,Bayview Village
10586747,ZIGGY'S,792 BATHURST ST,Broadview North
10604437,CREPE DELICIOUS,500 REXDALE BLVD,Banbury-Don Mills
10449364,BLUE BUTTERFLY MONTESSORI SCHOOL,300 RICHMOND ST W,St.Andrew-Windfields
10461445,DUMPLING HOUSE,619 GERRARD ST E,Mimico
10286382,TIM HORTONS,6001 YONGE ST,Morningside
10634473,GASTRO PUB,1987 QUEEN ST E,Willowridge-Martingrove-Richview
10572079,THE WAFFLE SHOP,2 STRACHAN AVE,North Riverdale
10456984,SOUP IT UP,399 BATHURST ST,Bayview Village
10443482,TIM HORTONS,3157 DUNDAS ST W,Maple Leaf
10458488,OUTTAKES,1303 YONGE ST,Church-Yonge Corridor
10574739,STADIUM EVENT CENTRE,102 PETER ST,St.Andrew-Windfields
9014840,SUBWAY,45 CARLTON ST,Pelmo Park-Humberlea
9014314,SOUTH DRIVE CHILDREN'S CIRCLE,22 SOUTH DR,Church-Yonge Corridor
10437623,LE BARATIN,1600 DUNDAS ST W,Centennial Scarborough
10542888,CACTUS CLUB CAFE,100 KING ST W,Wychwood
10260613,GRACEDALE PUBLIC SCHOOL,186 GRACEDALE BLVD,Alderwood
10596880,YOGURTY'S FROYO,594 SHEPPARD AVE W,Roncesvalles
10277559,STARBUCKS COFFEE CO,4001 LESLIE ST,Lambton Baby Point
9001004,BAKERS BEST BAKERY,4915 STEELES AVE E,West Hill
10637100,MARCHELEO'S MARKETPLACE,150 WYNFORD DR,South Parkdale
10393634,ANNA FOODS,80 NASHDENE RD,West Hill
10620189,TIM HORTONS,563 SHERBOURNE ST,Moss Park
10224534,INDIGO NATURAL FOODS INC.,76 HOWDEN RD,Waterfront Communities-The Island
10507285,PHILTHY PHILS,2 STRACHAN AVE,North Riverdale
10492267,NOODLE BAR,330 QUEENS PLATE DR,Banbury-Don Mills
10393416,DAILY EXPRESS CONVENIENCE,1244 LAWRENCE AVE E,Briar Hill-Belgravia
10505740,SUBWAY,60 GRAND MARSHALL DR,Rosedale-Moore Park
10538038,LOS COMPADRES DOMINICAN RESTAURANT,40 CARL HALL RD,Corso Italia-Davenport
9010772,PATTISON SIGN GROUP,555 ELLESMERE RD,Waterfront Communities-The Island
10426726,WAKAME SUSHI,2625 WESTON RD,Caledonia-Fairbank
10365900,SUBWAY,510 MOUNT PLEASANT RD,Forest Hill North
9032688,SUPER 4 VARIETY & GROCERY,1014 DUNDAS ST W,Lansing-Westgate
10460040,UNIVERSITY CITY YMCA CHILDCARE,453 SENTINEL RD,Mount Olive-Silverstone-Jamestown
10619948,HEART SUSHI,1800 SHEPPARD AVE E,Tam O'Shanter-Sullivan
10576651,POTBELLY SANDWICH SHOP,83 YONGE ST,Pelmo Park-Humberlea
10601532,ONE FOOD & DRINK,8 WESTMORE DR,Banbury-Don Mills
10636336,PORCHETTA & CO,130 KING ST W,Wychwood
10598760,SUBWAY,10 LOWER SPADINA AVE,St.Andrew-Windfields
10635438,WEST EATERY,301 FRONT ST W,St.Andrew-Windfields
10358385,APOTEX RESEARCH FACILITY,465 GARYRAY DR,Alderwood
10548975,VILLA MADINA,88 QUEENS QUAY  W,St.Andrew-Windfields
10624466,Lucky's Meats,2490 GERRARD ST E,Junction Area
10442604,PITA & GRILL,1820 ST CLAIR AVE W,Weston-Pellam Park
10608521,INDIAN RASOI,1437 GERRARD ST E,Newtonbrook West
9051308,SEDAGHAT RESTAURANT,3342 DANFORTH AVE,North St.James Town
10524874,COMPASS GROUP CANADA,66 WELLINGTON ST W,Wychwood
9052070,SHOPPERS DRUG MART,4865 LESLIE ST,Tam O'Shanter-Sullivan
10240508,SOBEY'S URBAN FRESH,710 MOUNT PLEASANT RD,Forest Hill North
10620240,ASSEMBLY CHEF'S HALL- COLIBRI,111 RICHMOND ST W,Pelmo Park-Humberlea
10349787,THE LAST TEMPTATION,12 KENSINGTON AVE,Bayview Village
10380322,BOOSTER JUICE,3401 DUFFERIN ST,Rexdale-Kipling
10622770,NOON MOMENT,1993 FINCH AVE W,Westminster-Branson
9010665,N.Y. VETS. SOCIAL CLUB,6321 YONGE ST,Morningside
9404885,STARBUCKS  (INDIGO),220 YONGE ST,Wychwood
10373202,FIRKIN ON KING,461 KING ST W,St.Andrew-Windfields
10594924,LAS CALENAS,2965 ISLINGTON AVE,Alderwood
9003536,COPERNICUS LODGE,66 RONCESVALLES AVE,Cabbagetown-South St.James Town
9020914,CHESTNUT TREE DINING ROOM,89 CHESTNUT ST,Wychwood
10563131,ROSEBURY CONVENIENCE,145 MARLEE AVE,Guildwood
10579630,The Victorian Monkey,2386 KINGSTON RD,Junction Area
9008026,KABUL FARMS,40 BEVERLY HILLS DR,Corso Italia-Davenport
9224290,MCDONALD'S,552 YONGE ST,Wychwood
9004687,DRUXY'S FAMOUS DELICATESSEN,123 EDWARD ST,Wychwood
10363041,THE SPICE TRADER,877 QUEEN ST W,North Riverdale
10381786,THE CALEDONIAN,856 COLLEGE ST,Oakwood Village
9053506,WIN WIN FRESH MEAT,681 SILVER STAR BLVD,West Hill
10560593,FIT FOR LIFE,2 BLOOR ST E,Church-Yonge Corridor
10608013,FIT FOR LIFE,390 BAY ST,Wychwood
10387075,EXPRESS PIZZA AND GRILL,4917 BATHURST ST,Yonge-St.Clair
10433837,BUTCHER BY NATURE,515 ANNETTE ST,South Riverdale
9015534,AMICA AT THE BALMORAL CLUB,155 BALMORAL AVE,West Humber-Clairville
10601938,LUCKY'S CAFE & BAR,715 THE QUEENSWAY,Elms-Old Rexdale
10528246,SOUTH ST. BURGER CO.,2215 STEELES AVE W,Mount Olive-Silverstone-Jamestown
10539580,QUIZNO'S RESTAURANT,3747 KEELE ST,Mount Olive-Silverstone-Jamestown
10641765,Graceful Vegetarian Restaurant,4675 STEELES AVE E,West Hill
10446905,Charcoal Kebab House,3256 LAWRENCE AVE E,Beechborough-Greenbrook
9017919,YUEH TUNG RESTAURANT,126 ELIZABETH ST,Wychwood
10454710,KFC,1000 GERRARD ST E,Mimico
10566966,BROADVIEW EXPRESS MART,1121 BROADVIEW AVE,Brookhaven-Amesbury
10462640,Real Fruit Bubble Tea,45 OVERLEA BLVD,Edenbridge-Humber Valley
10620090,BAR SYBANNE,229 OSSINGTON AVE,Lansing-Westgate
10365522,LONGO'S,100 KING ST W,Wychwood
10218156,DIAN CHILDCARE CENTRE,283 PHARMACY AVE,Black Creek
9006377,GRAMPS & ELAINES ROTI PLACE,3095 EGLINTON AVE E,Kingsway South
9016942,UPPER YONGE VILLAGE D.C.CENTRE,14 ST CLEMENTS AVE,Agincourt North
10234239,I DEAL COFFEE,162 OSSINGTON AVE,Lansing-Westgate
9006188,GOLDEN BAKERY CAKES & PASTRIES,5210 FINCH AVE E,West Hill
10577822,CARIBBEAN CUISINE DELIGHT,1530 ALBION RD,Mount Pleasant East
10531920,Whisked Gluten-Free,1970 ELLESMERE RD,Beechborough-Greenbrook
9049488,VIP BILLIARDS,385 YONGE ST,Pelmo Park-Humberlea
10561636,LUCKY DRAGON PEARL,325 WESTON RD,Maple Leaf
10559988,BENTO SUSHI,3221 EGLINTON AVE E,Kingsway South
10444601,SUBWAY,1604 THE QUEENSWAY,Markland Wood
10561935,CIBO,2472 YONGE ST,Agincourt North
10484804,THE IRISH SHEBEEN PUB,5555 EGLINTON AVE W,Dufferin Grove
10522280,Tim Hortons,2480 GERRARD ST E,Junction Area
9010935,NIAGARA ST JUNIOR PUBLIC SCHOOL,222 NIAGARA ST,North Riverdale
10549953,COOL BANANA'S MARKET,40 CARL HALL RD,Corso Italia-Davenport
10614295,Tim Hortons,3488 LAWRENCE AVE E,Beechborough-Greenbrook
10407812,TIM HORTONS,261 YONGE ST,Pelmo Park-Humberlea
10447071,DE BLUE NOTE LOUNGE,1709 JANE ST,Islington-City Centre West
9401877,STARBUCKS COFFEE CO,3401 DUFFERIN ST,Rexdale-Kipling
10587149,BLOSSOMING MINDS,1530 DANFORTH AVE,Etobicoke West Mall
10614965,GAS & CONVENIENCE,1612 THE QUEENSWAY,Markland Wood
10417648,SUBWAY,642 DIXON RD,Banbury-Don Mills
10368116,RAPIDO,1089 BATHURST ST,Broadview North
10399416,KATHY'S CORNER,139 DUNDAS ST E,Pelmo Park-Humberlea
10632385,VARIETY STORE,1251 ST CLAIR AVE W,York University Heights
9001404,ROYAL YORK/BENIHANA,100 FRONT ST W,Wychwood
10391371,JOSIE'S SPORTS BAR & CAFE,881 SHEPPARD AVE W,Don Valley Village
10342266,NOCERIS MEET N' EAT,182 BROWNS LINE,High Park-Swansea
10515728,UTOPIA,586 COLLEGE ST,Oakwood Village
10533519,WENDY'S,1002 LAWRENCE AVE W,Rexdale-Kipling
10583009,THE GRIND,200 BAY ST,Wychwood
9003890,DAIRY QUEEN,5449 DUNDAS ST W,Markland Wood
9396472,CASA DI GIORGIO RISTORANTE,1646 QUEEN ST E,Highland Creek
9016466,TOMATO KING LTD.,165 THE QUEENSWAY,Elms-Old Rexdale
10516232,Birchmount Dollar Plus,462 BIRCHMOUNT RD,Black Creek
10611506,ROLLTATION,3 CARLTON ST,Pelmo Park-Humberlea
10258214,TORONTO FRENCH MONTESSORI SCHOOL,53 CUMMER AVE,Morningside
9007702,THE JASON GEORGE,100 FRONT ST E,St.Andrew-Windfields
10595811,T-SWIRL CREPE,510 YONGE ST,Wychwood
10448295,THE ISLANDS CARIBBEAN RESTAURANT,4700 KEELE ST,Mount Olive-Silverstone-Jamestown
9014914,SUN WAH FRUIT MARKET,229 AUGUSTA AVE,Bayview Village
9015719,THE FLAME BAR & GRILL,1387 LAWRENCE AVE W,Oakridge
10190156,THE VILLAGE OF HUMBER HEIGHTS,2245 LAWRENCE AVE W,Danforth East York
9003860,DAIKUANG WAH HERB MARKET,280 SPADINA AVE,Bayview Village
10221407,S.S.2 FAMOUS BAR & RESTAURANT,415 ROYAL YORK RD,Milliken
10359638,FOUR STARS CAFE,1485 DUNDAS ST W,Centennial Scarborough
9017447,WESTON BAKERY,1425 THE QUEENSWAY,Markland Wood
10589044,SHAWARMA BOY INC.,721 PAPE AVE,Etobicoke West Mall
10614619,THE JERK SPOT,790 MILITARY TRL,Rouge
10612624,STEAK SUPREME RESTAURANT,4033 GORDON BAKER RD,Bendale
10528136,TENDERCARE LIVING CENTRE,1020 MCNICOLL AVE,Bendale
10570534,FLOCK ROTISSERIE & GREENS,175 BLOOR ST E,Pelmo Park-Humberlea
9009289,MACELLERIA POTENZA,2635 ISLINGTON AVE,Humber Heights-Westmount
10384493,JUGO JUICE,300 BOROUGH DR,Runnymede-Bloor West Village
10446090,SUPPER WORKS,4868 DUNDAS ST W,Markland Wood
10373068,CONGEE TOWN RESTAURANT,1571 SANDHURST CRCL,Palmerston-Little Italy
10311924,KOSHER AND NATURAL FOODS,3193 BATHURST ST,Mount Dennis
10538546,A PLUS DELI,180 DUNCAN MILL RD,New Toronto
10378731,MCDONALD'S,1890 AVENUE RD,Mount Dennis
10376655,THE GOLDEN CHOPSTICK,271 OLD KINGSTON RD,Humbermede
10623941,FIGS & OLIVES KITCHEN,24 WELLESLEY ST W,Wychwood
10359417,BASIC DOLLAR PLUS,405 PARLIAMENT ST,Yonge-Eglinton
